"id","COMPANY_NAME","COMPANY_ADDRESS","COMPANY_DESCRIPTION","COMPANY_REPRESENTATIVE_DESIGNATION","MEMBER_NAME","MEMBER_ID","BUSINESS_TYPE_NAME","BUSINESS_TYPE_ID","COMPANY_CREATED_AT","COMPANY_UPDATED_AT"
3,Soltherm,"205, 2nd Floor Palika Bazar, Lucknow - 226024, Uttar Pradesh, India","Welcome to our website, We are committed to make our mother planet even more pleasant place to live in, by developing sustainable, dependable, technologies, products and services for even more green, environment friendly, reducing carbon footprint. We the human beings have been endowed with a distinctive reasoning capacity and innovative nature since inception of our civilization. Technological development is an intrinsic property of humanity. Since very inception of the human civilization we have traveled a long journey of development and technological advancements as per the requirements of time.   That is to say human mind have enormous capabilities for undertaking innovations and developments of new technologies as and when the need is arises. Eventually our enthusiasm has been aroused in the domain of sustainable energy solutions, along with taking care of our mother planet, against the potential menace of global warming, environmental pollutions. We invite you all to join hands w",,Akash more,3,Service Provider,1,"2025-07-09 10:39:56.480094","2025-10-16 12:45:23.253929"
4,TrendyTech Solutions,"589, Main Street Pune",,,Arjun Khan,4,Service Provider,1,"2025-07-14 05:38:36.260274","2025-07-14 05:38:36.260305"
5,SmartBuild Co.,"888, Main Street",,,Siddharth Malhotra,5,Service Provider,1,"2025-07-14 05:39:59.507262","2025-07-14 05:39:59.507278"
6,GreenField Traders,,,"",Isha Desai,6,Service Provider,1,"2025-07-14 05:50:49.627273","2025-07-14 05:50:49.627287"
7,EliteSoftwares,,,"",Pooja Chopra,7,Service Provider,1,"2025-07-14 05:54:26.954772","2025-07-14 05:54:26.954787"
8,NextWave Finance,,,"",Sandeep Kumar,8,Service Provider,1,"2025-07-14 06:14:56.391719","2025-07-14 06:14:56.391734"
9,Skyline Foods,"955, Linking Rd Kolhapur",,,Meena Mehta,9,Service Provider,1,"2025-07-14 08:54:59.337622","2025-07-14 08:54:59.337654"
10,NextWave Finance,"691, Industrial Area Solapur",,,Isha Kapoor,10,Service Provider,1,"2025-07-14 08:56:12.180734","2025-07-14 08:56:12.181086"
13,Cosmos Pumps Private Limited,"DLF Industrial Area, I-23, Phase-1, Sec-32, Faridabad - 121003, Haryana, India","Established in the year of 2021, we “Cosmos Pumps Private Limited” are Manufacturer of a Dewatering Pump, Submersible Pump, Diesel Dewatering Pump, etc. We direct all our activities to cater the expectations of customers by providing them excellent quality products as per their gratification. Moreover, we follow moral business policies and crystal pure transparency in all our transactions to keep healthy relations with the customers. For our accomplishment story, we are grateful to our mentor Mr. Ankit Jain,whose continual backing and direction have been useful to us for attaining exponential development in the current market.",,Akash More,13,Service Provider,1,"2025-07-16 10:17:28.725868","2025-10-16 13:05:45.035733"
16,V2S Global Services,"nr. CITY OF JOY, Tambe Nagar, Ashok Nagar G 21, Ecstasy business center, J S DOSA MARG",,,Navnath Nikam,16,Service Provider,1,"2025-08-18 06:51:43.032394","2025-08-18 06:51:43.032429"
17,V2S Global Services,"168, Cross Lane, Bangalore",,,Ravi Kumar,17,Service Provider,1,"2025-10-16 06:00:27.894767","2025-10-16 06:00:27.894807"
18,Fusion Softwares,"831, Park Street, Jaipur",,,Komal Sen,18,Service Provider,1,"2025-10-16 06:13:45.994576","2025-10-16 06:13:45.994594"
19,DataCore Global Services,"918, MG Road, Bangalore",,,Ravi Gupta,19,Service Provider,1,"2025-10-16 06:16:38.691684","2025-10-16 06:16:38.691712"
20,Vision Systems Pvt Ltd,"64, Main Road, Hyderabad",,,Sameer Iyer,20,Service Provider,1,"2025-10-16 06:19:22.123582","2025-10-16 06:19:22.123604"
21,Nova Infotech,"463, Park Street, Ludhiana",,,Pooja Sen,21,Service Provider,1,"2025-10-16 06:34:46.482227","2025-10-16 06:34:46.482243"
22,BlueDot Infotech,"118, Main Road, Ahmedabad",,,Pooja Mehta,22,Service Provider,1,"2025-10-16 06:36:20.600839","2025-10-16 06:36:20.600858"
23,DataCore Tech Solutions,"225, Park Street, Bangalore",,,Sameer Kumar,23,Service Provider,1,"2025-10-16 06:37:26.039438","2025-10-16 06:37:26.039454"
24,TechWave Infotech,"385, Main Road, Mumbai",,,Sameer Das,24,Service Provider,1,"2025-10-16 06:38:27.661264","2025-10-16 06:38:27.661280"
25,Alpha Consultancy,"910, Cross Lane, Jaipur",,,Neha Nair,25,Service Provider,1,"2025-10-16 06:42:42.605647","2025-10-16 06:42:42.605666"
