id,PRODUCT_NAME,PRODUCT_DESCRIPTION,MIN_PRICE,MAX_PRICE,SELLER_id,CATEGORY,DESCRIPTION_OF_CATEGORY,CATEGORY_ID,CREATED_AT,UPDATED_AT
2,Busbx,Ubwhx,,,6,Electronic,,5,2025-06-30 08:47:03.350457,2025-06-30 08:49:35.216112
5,Digital  camera,"Digital camera. A digital camera is an electronic device used to capture and store digital images and videos. It typically has a lens, a sensor, and a memory",,,6,Electronic,,5,2025-06-30 09:00:48.671946,2025-07-21 07:29:13.882492
7,headphones,"With Mic:Yes
BEAST Mode: Experience lag-free high-quality gaming with low latency of up to 50 ms. Visuals align with impactful audio for realistic action.",2000,2500,12,Electronic,,5,2025-07-03 10:33:06.311146,2025-07-03 10:33:06.311181
8,Samsung Tv,"Samsung 80 cm (32 Inch) HD Ready LED Smart

Tizen TV with Bezel-Free Design |

PurColor |

Hyper

Real Picture Engine |

Triple Protection |

SmartThings

App Support

TV Key |

Connect Share(HDD) |",,,12,Electronic,,5,2025-07-10 10:52:32.481657,2025-07-10 10:52:32.481724
9,Cameras,Teyh,,,12,Electronic,,5,2025-07-11 08:57:32.188102,2025-07-11 09:05:21.332913
10,Cameras,Canon EOS 77D 24.2MP DSLR Camera with the Canon 18-55mm lens,,,12,Electronic,,5,2025-07-11 09:06:08.952310,2025-09-16 04:05:36.475842
11,Stuffed Animal Elephant toy,"DearJoy Big Size Fibre Filled Stuffed Animal Elephant Soft Toy for Kids of Plush Hugging Soft Toy for Kids boy Girl Birthday Gift (60 cm, Grey Color",,,16,Gift & Toys,,2,2025-07-21 06:47:21.333749,2025-10-15 11:58:38.207386
12,Toys R Us Avigo Rechargeabl,"Toys R Us Avigo Rechargeable 12V Battery Operated Ride on Car Jeep with Music, Led Lights. Jeep Battery Operated Ride On  (Red)",,,16,Gift & Toys,,2,2025-07-21 09:19:19.303058,2025-10-15 11:59:12.611095
13,Saarsthi Hub,Building networking smooth with saarathi application,,,29,IT Services,,25,2025-07-22 10:53:30.547128,2025-07-22 10:53:30.547168
14,Website development,For all networking groups we can create for you dynamic & attractive website for your group,,,29,IT Services,,25,2025-07-22 10:58:14.208548,2025-07-22 10:58:14.208582
15,Online Marketing courses,"offering online courses in areas like SEO, social media marketing, content marketing, and more",,,38,Digital Marketing,,26,2025-07-30 12:05:16.114453,2025-10-15 09:30:18.982330
16,Laptops,cv,1500,2000,12,Gift & Toys,,2,2025-08-26 05:09:31.852315,2025-09-16 04:06:04.341743
17,Cameras  ne 2,Hu,,,12,Electronic,,5,2025-09-19 12:04:15.946886,2025-09-19 12:05:22.432551
